,title,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),misc_clausulae,author
0,academica,31.0,5.0,11.0,6.0,31.0,8.0,3.0,2.0,0.0,5.0,1.0,1.0,3.0,2.0,42.0,3.0,3.0,15.0,1.0,0.0,27.0,7.0,9.0,2.0,1.0,3.0,cicero
1,arati phaenomena,6.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,9.0,194.0,10.0,3.0,0.0,0.0,cicero
2,arati prognotica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,cicero
3,brutus,209.0,28.0,62.0,18.0,284.0,134.0,41.0,10.0,3.0,36.0,14.0,5.0,33.0,20.0,303.0,14.0,7.0,103.0,2.0,1.0,102.0,17.0,31.0,7.0,3.0,27.0,cicero
4,carmina fragmenta,0.0,0.0,0.0,0.0,1.0,15.0,2.0,0.0,0.0,6.0,2.0,4.0,11.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,8.0,54.0,3.0,3.0,0.0,1.0,cicero
5,cato maior de senectute,101.0,14.0,24.0,9.0,94.0,36.0,14.0,3.0,1.0,11.0,5.0,1.0,14.0,5.0,88.0,3.0,5.0,26.0,2.0,3.0,26.0,16.0,9.0,7.0,0.0,6.0,cicero
6,commentarii causarum,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cicero
7,de divinatione,279.0,36.0,106.0,17.0,248.0,130.0,38.0,18.0,7.0,39.0,14.0,13.0,36.0,23.0,352.0,14.0,11.0,102.0,5.0,7.0,151.0,93.0,90.0,21.0,4.0,31.0,cicero
8,de domo sua,137.0,16.0,51.0,11.0,61.0,35.0,11.0,4.0,1.0,13.0,4.0,4.0,5.0,8.0,223.0,11.0,2.0,42.0,2.0,1.0,52.0,13.0,14.0,5.0,1.0,17.0,cicero
9,de fato,47.0,6.0,13.0,3.0,42.0,25.0,7.0,2.0,2.0,6.0,7.0,2.0,9.0,1.0,63.0,3.0,1.0,24.0,0.0,1.0,29.0,9.0,10.0,8.0,2.0,8.0,cicero
10,de finibus,327.0,49.0,141.0,27.0,378.0,229.0,44.0,23.0,10.0,54.0,19.0,12.0,61.0,42.0,570.0,23.0,20.0,171.0,10.0,9.0,200.0,60.0,98.0,24.0,8.0,59.0,cicero
11,de haruspicum responso,82.0,8.0,37.0,9.0,26.0,26.0,4.0,2.0,1.0,4.0,4.0,3.0,6.0,2.0,105.0,9.0,2.0,12.0,0.0,1.0,41.0,11.0,2.0,2.0,1.0,2.0,cicero
12,de inventore,281.0,45.0,67.0,40.0,73.0,129.0,17.0,9.0,15.0,37.0,23.0,17.0,23.0,48.0,606.0,14.0,9.0,142.0,4.0,10.0,309.0,65.0,94.0,26.0,11.0,75.0,cicero
13,de iure civ in artem redig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cicero
14,de lege agraria,167.0,12.0,35.0,17.0,58.0,60.0,7.0,3.0,2.0,12.0,8.0,6.0,9.0,9.0,190.0,4.0,4.0,52.0,3.0,0.0,71.0,16.0,18.0,5.0,0.0,21.0,cicero
15,de lege agraria 1,23.0,2.0,6.0,4.0,12.0,13.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,44.0,0.0,0.0,10.0,1.0,0.0,13.0,0.0,1.0,0.0,0.0,5.0,cicero
16,de lege agraria 2,131.0,8.0,26.0,10.0,35.0,38.0,4.0,3.0,2.0,10.0,7.0,3.0,8.0,7.0,130.0,4.0,3.0,38.0,1.0,0.0,49.0,15.0,16.0,5.0,0.0,11.0,cicero
17,de lege agraria 3,13.0,2.0,3.0,3.0,11.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,16.0,0.0,1.0,4.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,5.0,cicero
18,de legibus,118.0,10.0,58.0,14.0,193.0,107.0,23.0,11.0,3.0,33.0,12.0,9.0,25.0,20.0,215.0,10.0,11.0,79.0,3.0,1.0,81.0,23.0,27.0,9.0,1.0,16.0,cicero
19,de natura deorum,320.0,52.0,135.0,24.0,288.0,125.0,34.0,20.0,4.0,32.0,22.0,16.0,41.0,25.0,457.0,24.0,12.0,138.0,3.0,2.0,149.0,89.0,59.0,22.0,9.0,18.0,cicero
20,de officiis,263.0,56.0,130.0,28.0,311.0,121.0,37.0,14.0,4.0,30.0,16.0,7.0,37.0,14.0,383.0,21.0,8.0,107.0,9.0,4.0,98.0,34.0,41.0,15.0,5.0,21.0,cicero
21,de optimo genere oratorum,6.0,2.0,3.0,0.0,19.0,8.0,4.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,24.0,0.0,2.0,10.0,0.0,0.0,8.0,1.0,2.0,5.0,1.0,1.0,cicero
22,de oratore,579.0,97.0,235.0,57.0,279.0,251.0,38.0,20.0,9.0,62.0,27.0,21.0,51.0,40.0,708.0,44.0,24.0,191.0,5.0,8.0,257.0,69.0,78.0,27.0,11.0,30.0,cicero
23,de partitione oratoria,104.0,18.0,30.0,10.0,55.0,40.0,8.0,5.0,0.0,9.0,7.0,3.0,13.0,7.0,138.0,4.0,1.0,37.0,0.0,1.0,44.0,17.0,11.0,8.0,5.0,13.0,cicero
24,de provinciis consularibus,48.0,3.0,31.0,4.0,21.0,19.0,3.0,2.0,0.0,4.0,1.0,2.0,3.0,3.0,71.0,3.0,5.0,4.0,0.0,0.0,17.0,4.0,3.0,1.0,0.0,2.0,cicero
